id,fuel_type,price_per_litre,region,source,recorded_at,is_active
1,diesel,1.485,UK,RAC Fuel Watch - January 2025,Sat Jul 05 2025 13:39:22 GMT+0000 (Coordinated Universal Time),true
2,petrol,1.395,UK,RAC Fuel Watch - January 2025,Sat Jul 05 2025 13:39:22 GMT+0000 (Coordinated Universal Time),true
4,diesel,1.475,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
5,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
3,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
6,petrol,1.385,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
7,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
8,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
9,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
10,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
11,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
12,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
13,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
14,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
15,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
16,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
17,diesel,1.476,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
18,petrol,1.386,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
19,diesel,1.484,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
20,petrol,1.394,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
21,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
22,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
23,diesel,1.487,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
24,petrol,1.397,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
25,diesel,1.495,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
26,petrol,1.405,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
27,diesel,1.485,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
28,petrol,1.395,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
29,diesel,1.480,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
30,petrol,1.390,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
31,diesel,1.475,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
32,petrol,1.385,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
33,diesel,1.488,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
34,petrol,1.398,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
35,diesel,1.489,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
36,petrol,1.399,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
37,diesel,1.481,UK,Automated Monthly Update,Sat Jul 05 2025 13:43:40 GMT+0000 (Coordinated Universal Time),true
